test,approach,answer,time,responseTime
30-0.02-8c,8c-10f,1,0.01,6672125.00
30-0.02-8c,8c-10f,2,0.02,19051092.00
30-0.02-8c,8c-10f,3,0.02,8372568.00
30-0.02-8c,8c-10f,4,0.03,14732201.00
30-0.02-8c,8c-10f,5,0.03,25336060.00
30-0.02-8c,8c-10f,6,0.03,29892309.00
30-0.02-8c,8c-10f,7,0.04,5495746.00
30-0.02-8c,8c-10f,8,0.04,15744366.00
30-0.02-8c,8c-10f,9,0.04,22836944.00
30-0.02-8c,8c-10f,10,0.04,41569333.00
30-0.02-8c,8c-10f,11,0.05,32992258.00
30-0.02-8c,8c-10f,12,0.05,36108331.00
30-0.02-8c,8c-10f,13,0.05,26723294.00
30-0.02-8c,8c-10f,14,0.06,52232448.00
30-0.02-8c,8c-10f,15,0.06,44934815.00
30-0.02-8c,8c-10f,16,0.11,103296832.00
30-0.02-8c,8c-10f,17,0.20,187372735.00
30-0.02-8c,8c-10f,18,0.22,205973593.00
30-0.02-8c,8c-10f,19,0.24,218473888.00
30-0.02-8c,8c-10f,20,0.24,206806401.00
30-0.02-8c,8c-10f,21,0.26,234826410.00
30-0.02-8c,8c-10f,22,0.33,308020661.00
30-0.02-8c,8c-10f,23,0.35,309821205.00
30-0.02-8c,8c-10f,24,0.37,328944867.00
30-0.02-8c,8c-10f,25,0.38,326572751.00
30-0.02-8c,8c-10f,26,0.38,339084322.00
30-0.02-8c,8c-10f,27,0.40,344236519.00
30-0.02-8c,8c-10f,28,0.42,378831981.00
30-0.02-8c,8c-10f,29,0.43,398867760.00
30-0.02-8c,8c-10f,30,0.44,401501260.00
30-0.02-8c,8c-10f,31,0.45,413265388.00
30-0.02-8c,8c-10f,32,0.45,422225602.00
30-0.02-8c,8c-10f,33,0.45,424473159.00
30-0.02-8c,8c-10f,34,0.46,432008739.00
30-0.02-8c,8c-10f,35,0.51,478353325.00
30-0.02-8c,8c-10f,36,0.51,470394636.00
30-0.02-8c,8c-10f,37,0.53,500568759.00
30-0.02-8c,8c-10f,38,0.55,518600448.00
30-0.02-8c,8c-10f,39,0.57,538112666.00
30-0.02-8c,8c-10f,40,0.60,547514179.00
30-0.02-8c,8c-10f,41,0.63,559049916.00
30-0.02-8c,8c-10f,42,0.63,566836087.00
30-0.02-8c,8c-10f,43,0.63,590324631.00
30-0.02-8c,8c-10f,44,0.65,615721184.00
30-0.02-8c,8c-10f,45,0.66,627410550.00
30-0.02-8c,8c-10f,46,0.67,628180195.00
30-0.02-8c,8c-10f,47,0.72,681342308.00
30-0.02-8c,8c-10f,48,0.72,685060406.00
30-0.02-8c,8c-10f,49,0.77,697168407.00
30-0.02-8c,8c-10f,50,0.87,789211921.00
30-0.02-8c,8c-10f,51,0.93,883745249.00
30-0.02-8c,8c-10f,52,0.94,872556111.00
30-0.02-8c,8c-10f,53,1.03,961835945.00
30-0.02-8c,8c-10f,54,1.08,973288006.00
30-0.02-8c,8c-10f,55,1.12,1066015163.00
30-0.02-8c,8c-10f,56,1.13,1068026443.00
30-0.02-8c,8c-10f,57,1.16,1101280410.00
30-0.02-8c,8c-10f,58,1.16,1092304327.00
30-0.02-8c,8c-10f,59,1.18,1086989158.00
30-0.02-8c,8c-10f,60,1.18,1123994468.00
30-0.02-8c,8c-10f,61,1.21,1136217285.00
30-0.02-8c,8c-10f,62,1.23,1064392958.00
30-0.02-8c,8c-10f,63,1.23,1158175370.00
30-0.02-8c,8c-10f,64,1.24,1182203155.00
30-0.02-8c,8c-10f,65,1.24,1166761344.00
30-0.02-8c,8c-10f,66,1.25,1177726650.00
30-0.02-8c,8c-10f,67,1.25,1179552794.00
30-0.02-8c,8c-10f,68,1.26,1212419351.00
30-0.02-8c,8c-10f,69,1.26,1207377821.00
30-0.02-8c,8c-10f,70,1.27,1200594818.00
30-0.02-8c,8c-10f,71,1.27,1214305477.00
30-0.02-8c,8c-10f,72,1.27,1210908285.00
30-0.02-8c,8c-10f,73,1.29,1213877974.00
30-0.02-8c,8c-10f,74,1.29,1193665493.00
30-0.02-8c,8c-10f,75,1.40,1334509205.00
30-0.02-8c,8c-10f,76,1.43,1371753907.00
30-0.02-8c,8c-10f,77,1.45,1371581897.00
30-0.02-8c,8c-10f,78,1.46,1285186923.00
30-0.02-8c,8c-10f,79,1.53,1463485521.00
30-0.02-8c,8c-10f,80,1.58,1509798861.00
30-0.02-8c,8c-10f,81,1.58,1497523552.00
30-0.02-8c,8c-10f,82,1.60,1534953423.00
30-0.02-8c,8c-10f,83,1.62,1553179658.00
30-0.02-8c,8c-10f,84,1.67,1587667127.00
30-0.02-8c,8c-10f,85,1.70,1616834987.00
30-0.02-8c,8c-10f,86,1.72,1628788275.00
30-0.02-8c,8c-10f,87,1.73,1642870680.00
30-0.02-8c,8c-10f,88,1.74,1658795076.00
30-0.02-8c,8c-10f,89,1.82,1695971382.00
30-0.02-8c,8c-10f,90,1.84,1715737334.00
30-0.02-8c,8c-10f,91,1.85,1748737135.00
30-0.02-8c,8c-10f,92,1.86,1753720521.00
30-0.02-8c,8c-10f,93,1.87,1738327914.00
30-0.02-8c,8c-10f,94,1.88,1783232823.00
30-0.02-8c,8c-10f,95,2.01,1934616691.00
30-0.02-8c,8c-10f,96,2.03,1948742008.00
30-0.02-8c,8c-10f,97,2.05,1962411291.00
30-0.02-8c,8c-10f,98,2.08,1929366952.00
30-0.02-8c,8c-10f,99,2.08,1977128192.00
30-0.02-8c,8c-10f,100,2.11,1942074518.00
30-0.02-8c,8c-10f,101,2.17,2077301303.00
30-0.02-8c,8c-10f,102,2.17,2087512253.00
30-0.02-8c,8c-10f,103,2.18,2071321704.00
30-0.02-8c,8c-10f,104,2.19,2036232303.00
30-0.02-8c,8c-10f,105,2.25,2074974484.00
30-0.02-8c,8c-10f,106,2.27,2167665298.00
30-0.02-8c,8c-10f,107,2.30,2176885479.00
30-0.02-8c,8c-10f,108,2.39,2287674070.00
30-0.02-8c,8c-10f,109,2.40,2269113332.00
30-0.02-8c,8c-10f,110,2.40,2242571922.00
30-0.02-8c,8c-10f,111,2.41,2303585336.00
30-0.02-8c,8c-10f,112,2.41,2306020578.00
30-0.02-8c,8c-10f,113,2.44,2329797539.00
30-0.02-8c,8c-10f,114,2.44,2311953789.00
30-0.02-8c,8c-10f,115,2.45,2352660506.00
30-0.02-8c,8c-10f,116,2.49,2321014629.00
30-0.02-8c,8c-10f,117,2.50,2363506273.00
30-0.02-8c,8c-10f,118,2.51,2411996936.00
30-0.02-8c,8c-10f,119,2.52,2349375726.00
30-0.02-8c,8c-10f,120,2.54,2401070290.00
30-0.02-8c,8c-10f,121,2.56,2458888146.00
30-0.02-8c,8c-10f,122,2.58,2439768996.00
30-0.02-8c,8c-10f,123,2.65,2507329606.00
30-0.02-8c,8c-10f,124,2.65,2547244985.00
30-0.02-8c,8c-10f,125,2.69,2422453532.00
