test,approach,answer,time,responseTime
30-0.02-1c,1c-1f,1,3.47,2979219.00
30-0.02-1c,1c-1f,2,3.50,4032795.00
30-0.02-1c,1c-1f,3,3.68,3913129.00
30-0.02-1c,1c-1f,4,4.32,3672931.00
30-0.02-1c,1c-1f,5,8.70,3368479.00
30-0.02-1c,1c-1f,6,9.50,3152235.00
30-0.02-1c,1c-1f,7,11.86,3483020.00
30-0.02-1c,1c-1f,8,12.30,4021687.00
30-0.02-1c,1c-1f,9,14.59,1905339.00
30-0.02-1c,1c-1f,10,17.28,3008450.00
30-0.02-1c,1c-1f,11,18.31,4115931.00
30-0.02-1c,1c-1f,12,20.87,1509791.00
30-0.02-1c,1c-1f,13,21.75,3956593.00
30-0.02-1c,1c-1f,14,22.58,2091123.00
30-0.02-1c,1c-1f,15,24.40,2078080.00
30-0.02-1c,1c-1f,16,26.45,1389814.00
30-0.02-1c,1c-1f,17,27.33,1809616.00
30-0.02-1c,1c-1f,18,27.54,1766441.00
30-0.02-1c,1c-1f,19,27.80,720097.00
30-0.02-1c,1c-1f,20,31.28,3226094.00
30-0.02-1c,1c-1f,21,32.43,1078478.00
30-0.02-1c,1c-1f,22,33.44,1410009.00
30-0.02-1c,1c-1f,23,33.66,1350185.00
30-0.02-1c,1c-1f,24,34.05,2978852.00
30-0.02-1c,1c-1f,25,34.38,1307091.00
30-0.02-1c,1c-1f,26,35.71,1173602.00
30-0.02-1c,1c-1f,27,36.11,2408562.00
30-0.02-1c,1c-1f,28,36.49,1005356.00
30-0.02-1c,1c-1f,29,37.30,3947731.00
30-0.02-1c,1c-1f,30,37.64,3283986.00
30-0.02-1c,1c-1f,31,39.44,2709354.00
30-0.02-1c,1c-1f,32,44.17,1304809.00
30-0.02-1c,1c-1f,33,44.24,4236101.00
30-0.02-1c,1c-1f,34,46.60,1053672.00
30-0.02-1c,1c-1f,35,46.98,1769439.00
30-0.02-1c,1c-1f,36,47.67,3263675.00
30-0.02-1c,1c-1f,37,48.53,3902548.00
30-0.02-1c,1c-1f,38,49.43,1165944.00
30-0.02-1c,1c-1f,39,49.79,635154.00
30-0.02-1c,1c-1f,40,50.18,1430180.00
30-0.02-1c,1c-1f,41,52.63,1395472.00
30-0.02-1c,1c-1f,42,56.00,1126216.00
30-0.02-1c,1c-1f,43,58.34,3487447.00
30-0.02-1c,1c-1f,44,62.43,595480.00
30-0.02-1c,1c-1f,45,63.12,4390473.00
30-0.02-1c,1c-1f,46,65.42,1064588.00
30-0.02-1c,1c-1f,47,67.26,862694.00
30-0.02-1c,1c-1f,48,68.09,833058.00
30-0.02-1c,1c-1f,49,73.75,604474.00
30-0.02-1c,1c-1f,50,74.31,2904677.00
30-0.02-1c,1c-1f,51,74.67,630450.00
30-0.02-1c,1c-1f,52,74.96,618994.00
30-0.02-1c,1c-1f,53,75.76,1181218.00
30-0.02-1c,1c-1f,54,77.34,4783157.00
30-0.02-1c,1c-1f,55,81.30,3649444.00
30-0.02-1c,1c-1f,56,81.45,3675808.00
30-0.02-1c,1c-1f,57,82.95,3093581.00
30-0.02-1c,1c-1f,58,89.09,1976761.00
30-0.02-1c,1c-1f,59,89.26,3184190.00
30-0.02-1c,1c-1f,60,89.90,662180.00
30-0.02-1c,1c-1f,61,90.12,2562777.00
30-0.02-1c,1c-1f,62,90.47,613772.00
30-0.02-1c,1c-1f,63,90.80,2845549.00
30-0.02-1c,1c-1f,64,90.89,664167.00
30-0.02-1c,1c-1f,65,93.39,569432.00
30-0.02-1c,1c-1f,66,93.97,1293923.00
30-0.02-1c,1c-1f,67,94.08,3631817.00
30-0.02-1c,1c-1f,68,95.92,2765069.00
30-0.02-1c,1c-1f,69,96.58,764690.00
30-0.02-1c,1c-1f,70,98.20,1423712.00
30-0.02-1c,1c-1f,71,98.76,914042.00
30-0.02-1c,1c-1f,72,101.85,2129533.00
30-0.02-1c,1c-1f,73,103.18,613820.00
30-0.02-1c,1c-1f,74,104.50,1179091.00
30-0.02-1c,1c-1f,75,105.85,916894.00
30-0.02-1c,1c-1f,76,106.37,1517301.00
30-0.02-1c,1c-1f,77,107.22,2935579.00
30-0.02-1c,1c-1f,78,107.75,1685643.00
30-0.02-1c,1c-1f,79,109.15,763161.00
30-0.02-1c,1c-1f,80,112.24,1468234.00
30-0.02-1c,1c-1f,81,119.34,4475450.00
30-0.02-1c,1c-1f,82,120.02,835535.00
30-0.02-1c,1c-1f,83,122.12,910757.00
30-0.02-1c,1c-1f,84,124.49,621070.00
30-0.02-1c,1c-1f,85,124.56,1439202.00
30-0.02-1c,1c-1f,86,126.36,641231.00
30-0.02-1c,1c-1f,87,127.74,2205889.00
30-0.02-1c,1c-1f,88,130.81,1603939.00
30-0.02-1c,1c-1f,89,132.27,4181973.00
30-0.02-1c,1c-1f,90,137.97,1031543.00
30-0.02-1c,1c-1f,91,138.29,759066.00
30-0.02-1c,1c-1f,92,139.05,5416744.00
30-0.02-1c,1c-1f,93,140.52,2307360.00
30-0.02-1c,1c-1f,94,141.51,1138411.00
30-0.02-1c,1c-1f,95,144.55,1110564.00
30-0.02-1c,1c-1f,96,147.49,2865308.00
30-0.02-1c,1c-1f,97,150.57,1043852.00
30-0.02-1c,1c-1f,98,151.01,638887.00
30-0.02-1c,1c-1f,99,151.17,1027334.00
30-0.02-1c,1c-1f,100,151.21,881540.00
30-0.02-1c,1c-1f,101,152.74,3936124.00
30-0.02-1c,1c-1f,102,152.99,1188896.00
30-0.02-1c,1c-1f,103,153.98,1118487.00
