test,approach,tfft,totaltime,mrt,checks,alerts
7-0.03-16c,16c-1f,459201378,9574.74,22499771872,1939026,26485
7-0.03-16c,16c-5f,450712759,4341.78,12343177454,1939026,26485
7-0.03-16c,16c-10f,766212120,1923.09,9314014883,1939026,26485
7-0.03-16c,16c-20f,1063506322,1260.48,12477241773,1939026,26485
7-0.03-16c,16c-40f,873596367,1008.69,17840344778,1939026,26485
7-0.03-16c,16c-100f,442858486,917.35,33419538303,1939026,26485
7-0.03-16c,16c-200f,888393211,879.0,59826533116,1939026,26485
7-0.03-16c,16c-500f,421383920,870.85,125328547978,1939026,26485
7-0.03-16c,16c-1000f,644699182,866.98,244310061477,1939026,26485
7-0.03-16c,16c-2000f,466948045,885.27,431315427951,1939026,26485
